id,name,year,budget,popularity,runtime,vote_average,poster_path
862,Toy Story,1995,30000000,21.946943,81,7.7,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg
8844,Jumanji,1995,65000000,17.015539,104,6.9,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg
15602,Grumpier Old Men,1995,0,11.7129,101,6.5,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg
31357,Waiting to Exhale,1995,16000000,3.859495,127,6.1,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg
11862,Father of the Bride Part II,1995,0,8.387519,106,5.7,/e64sOI48hQXyru7naBFyssKFxVd.jpg
949,Heat,1995,60000000,17.924927,170,7.7,/zMyfPUelumio3tiDKPffaUpsQTD.jpg
11860,Sabrina,1995,58000000,6.677277,127,6.2,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg
45325,Tom and Huck,1995,0,2.561161,97,5.4,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg
9091,Sudden Death,1995,35000000,5.23158,106,5.5,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg
710,GoldenEye,1995,58000000,14.686036,130,6.6,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
9087,The American President,1995,62000000,6.318445,106,6.5,/lymPNGLZgPHuqM29rKMGV46ANij.jpg
12110,Dracula: Dead and Loving It,1995,0,5.430331,88,5.7,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg
21032,Balto,1995,0,12.140733,78,7.1,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
10858,Nixon,1995,44000000,5.092,192,7.1,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg
1408,Cutthroat Island,1995,98000000,7.284477,119,5.7,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg
524,Casino,1995,52000000,10.137389,178,7.8,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg
4584,Sense and Sensibility,1995,16500000,10.673167,136,7.2,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg
5,Four Rooms,1995,4000000,9.026586,98,6.5,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
9273,Ace Ventura: When Nature Calls,1995,30000000,8.205448,90,6.1,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg
11517,Money Train,1995,60000000,7.337906,103,5.4,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
8012,Get Shorty,1995,30250000,12.669608,105,6.4,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
1710,Copycat,1995,0,10.701801,124,6.5,/80czeJGSoik22fhtUM9WzyjUU4r.jpg
9691,Assassins,1995,50000000,11.065939,132,6,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg
12665,Powder,1995,0,12.133094,111,6.3,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg
451,Leaving Las Vegas,1995,3600000,10.332025,112,7.1,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg
16420,Othello,1995,0,1.845899,123,7,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg
9263,Now and Then,1995,12000000,8.681325,100,6.6,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg
17015,Persuasion,1995,0,2.228434,104,7.4,/si8911IezMvAnQFDvyg1nKzDlD.jpg
902,The City of Lost Children,1995,18000000,9.822423,108,7.6,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg
37557,Shanghai Triad,1995,0,1.100915,108,6.5,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg
9909,Dangerous Minds,1995,0,9.481338,99,6.4,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg
63,Twelve Monkeys,1995,29500000,12.297305,129,7.4,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
78802,Wings of Courage,1996,0,0.745542,50,6.8,/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg
9598,Babe,1995,30000000,14.404764,89,6,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
47018,Carrington,1995,0,1.493361,121,6.4,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg
687,Dead Man Walking,1995,11000000,6.891317,122,7.3,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg
139405,Across the Sea of Time,1995,0,0.114469,51,3.5,/lKOAyy098yjoot8cutYsStVO1WS.jpg
33689,It Takes Two,1995,0,7.777735,101,6.1,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg
9603,Clueless,1995,12000000,9.882383,97,6.9,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg
34615,Cry, the Beloved Country,1995,0,0.894647,106,6.7,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg
31174,Richard III,1995,0,4.561387,104,6.9,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg
11443,Dead Presidents,1995,10000000,9.87957,119,6.6,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg
35196,Restoration,1995,19000000,10.979269,117,6.3,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg
9312,Mortal Kombat,1995,18000000,10.870138,101,5.4,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg
577,To Die For,1995,20000000,10.448481,106,6.7,/zCREx8trzejNieDLUsRuwLU0cS3.jpg
11861,How To Make An American Quilt,1995,10000000,4.485958,116,6.5,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg
807,Se7en,1995,33000000,18.45743,127,8.1,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg
10530,Pocahontas,1995,55000000,13.280069,81,6.7,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg
8391,When Night Is Falling,1995,0,3.302524,96,5.9,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg
629,The Usual Suspects,1995,6000000,16.302466,106,8.1,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg
117164,Guardian Angel,1994,0,0.595949,93,6.3,/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg
11448,Mighty Aphrodite,1995,15000000,15.899134,95,6.7,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg
49133,Lamerica,1994,0,1.361286,116,7.7,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg
26441,The Big Green,1995,0,5.982764,100,5.2,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg
97406,Georgia,1995,0,4.093443,115,6.1,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg
124057,Kids of the Round Table,1997,0,0.307075,89,3,/tL9ImxOccEshRlgmrKQabKH2tCd.jpg
9089,Home for the Holidays,1995,0,8.416802,103,6.3,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg
11010,The Postman,1994,0,10.168437,108,7.6,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg
99040,The Confessional,1995,0,0.120789,100,6.5,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg
11359,The Indian in the Cupboard,1995,45000000,10.673296,96,5.9,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg
17182,Eye for an Eye,1996,20000000,4.733526,101,5.8,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
2054,Mr. Holland's Opus,1995,0,7.137117,137,6.9,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,0,11.700115,89,6.2,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg
19760,Two If by Sea,1996,0,2.174487,96,4.5,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg
9536,Bio-Dome,1996,15000000,6.387469,88,4.4,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg
11525,Lawnmower Man 2: Beyond Cyberspace,1996,0,2.49535,92,2.8,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg
40628,Two Bits,1995,0,4.046208,85,5.4,/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg
